iteration,target_lattice,controlled_lattice,relative_error,rho_boundary,pressure_pa,max_lattice_velocity,minimum_pdf,globBC_count
1,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
2,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
3,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
4,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
5,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
6,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
7,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
8,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
9,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
10,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
11,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
12,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
13,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
14,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
15,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
16,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
17,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
18,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
19,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
20,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
21,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
22,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
23,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
24,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
25,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
26,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
27,0.0023478724595760924,0.0023478724595760924,1e-14,1.0001,23624.68,1e-05,0.02,287
